Date,Apple Inc (USA),Taiwan Semiconductor (Taiwan),SAP SE (Germany),ASML Holding (Netherlands),Novo Nordisk (Denmark),Tencent Holdings (China),Nestlé SA (Switzerland),LVMH (France),Toyota (Japan),Samsung Electronics (South Korea)
2025-04-23,204.33206176757812,157.80999755859375,,,61.29999923706055,470.09637451171875,87.4000015258789,,2582.0,55700.0
2025-04-24,208.09710693359375,164.17999267578125,241.14999389648438,589.8599853515625,62.630001068115234,466.9240417480469,87.44000244140625,499.70001220703125,2657.5,55700.0
2025-04-25,209.00592041015625,165.10000610351562,244.6999969482422,588.9000244140625,62.08000183105469,474.061767578125,85.73999786376953,498.79998779296875,2690.0,55700.0
2025-04-28,209.8647918701172,163.39999389648438,248.8000030517578,584.5,62.619998931884766,474.061767578125,86.75,502.0,2786.5,55800.0
2025-04-29,210.9333953857422,164.47999572753906,254.60000610351562,585.0,65.16000366210938,468.90673828125,86.80000305175781,489.29998779296875,,55800.0
2025-04-30,212.22171020507812,166.69000244140625,255.3000030517578,582.5,66.44999694824219,473.0704040527344,87.73999786376953,487.8999938964844,2729.0,55500.0
2025-05-01,213.04063415527344,172.72000122070312,,,65.5999984741211,,,,2751.0,
2025-05-02,205.08106994628906,179.27999877929688,266.29998779296875,608.9000244140625,69.2300033569336,483.5786437988281,87.5999984741211,495.8500061035156,2780.0,54300.0
2025-05-05,198.62953186035156,176.39999389648438,267.3500061035156,606.7999877929688,69.12000274658203,,87.33999633789062,492.25,,
2025-05-06,198.25001525878906,172.27999877929688,264.3500061035156,601.5,66.29000091552734,491.1128845214844,88.16000366210938,489.1000061035156,,
2025-05-07,195.99298095703125,174.5399932861328,261.5,604.7000122070312,67.55000305175781,485.56134033203125,88.1500015258789,483.5,2706.0,54600.0
2025-05-08,197.2313690185547,175.22000122070312,262.79998779296875,630.5,64.8499984741211,493.6903991699219,87.05999755859375,487.29998779296875,2671.5,54600.0
2025-05-09,198.27000427246094,176.52000427246094,261.6499938964844,626.7999877929688,65.7699966430664,490.31982421875,87.6500015258789,495.75,2719.5,54800.0
2025-05-12,210.7899932861328,186.97999572753906,262.5,666.9000244140625,67.73999786376953,513.0216674804688,86.20999908447266,530.5,2753.5,57600.0
2025-05-13,212.92999267578125,193.99000549316406,262.3500061035156,683.7000122070312,65.4000015258789,501.62115478515625,85.06999969482422,536.9000244140625,2850.0,56900.0
2025-05-14,212.3300018310547,194.75999450683594,262.3500061035156,686.5999755859375,64.41000366210938,516.4913330078125,85.19000244140625,525.2000122070312,2749.5,57400.0
2025-05-15,211.4499969482422,194.22000122070312,263.20001220703125,682.2000122070312,66.1500015258789,515.5,86.58999633789062,507.29998779296875,2657.0,57300.0
2025-05-16,211.25999450683594,194.22000122070312,266.25,668.4000244140625,64.37000274658203,508.0,86.4800033569336,503.8999938964844,2642.5,56800.0
2025-05-19,208.77999877929688,193.5,265.45001220703125,662.4000244140625,67.0199966430664,514.0,87.25,498.6000061035156,2665.0,55800.0
2025-05-20,206.86000061035156,193.4499969482422,265.1000061035156,660.0,68.19999694824219,517.0,87.94999694824219,504.8999938964844,2672.5,55900.0
2025-05-21,202.08999633789062,191.75999450683594,265.79998779296875,664.7000122070312,68.19999694824219,520.5,88.45999908447266,493.6499938964844,2662.5,55700.0
2025-05-22,201.36000061035156,196.19000244140625,265.5,656.7999877929688,68.16999816894531,516.5,88.1500015258789,485.1000061035156,2620.0,54700.0
2025-05-23,195.27000427246094,191.97999572753906,260.54998779296875,642.5999755859375,67.3499984741211,518.0,88.5199966430664,479.0,2623.5,54200.0
2025-05-27,200.2100067138672,197.67999267578125,265.6499938964844,666.0999755859375,70.44000244140625,512.0,88.70999908447266,481.8999938964844,2640.0,53900.0
2025-05-28,200.4199981689453,196.13999938964844,263.29998779296875,660.7999877929688,68.5999984741211,506.0,87.51000213623047,483.6499938964844,2631.5,55900.0
2025-05-29,199.9499969482422,197.14999389648438,262.45001220703125,665.5,69.45999908447266,510.5,,481.25,2734.5,56100.0
2025-05-30,200.85000610351562,193.32000732421875,265.8999938964844,653.9000244140625,71.5,498.20001220703125,87.69999694824219,478.25,2769.0,56200.0
2025-06-02,201.6999969482422,194.83999633789062,264.29998779296875,646.2000122070312,72.83000183105469,498.3999938964844,87.01000213623047,477.20001220703125,2691.0,56800.0
2025-06-03,203.27000427246094,197.61000061035156,269.54998779296875,653.0999755859375,70.91000366210938,505.0,86.77999877929688,473.6000061035156,2675.0,
2025-06-04,202.82000732421875,202.39999389648438,271.29998779296875,652.4000244140625,72.04000091552734,512.0,87.12999725341797,476.6499938964844,2724.5,57800.0
2025-06-05,200.6300048828125,203.33999633789062,270.95001220703125,659.0,72.6500015258789,515.0,87.12999725341797,470.1000061035156,2650.5,59100.0
2025-06-06,203.9199981689453,205.17999267578125,272.3500061035156,667.5999755859375,74.62999725341797,515.0,86.69999694824219,471.25,2652.0,
2025-06-09,201.4499969482422,207.0,272.3500061035156,680.0999755859375,75.45999908447266,518.0,,471.54998779296875,2640.0,59800.0
2025-06-10,202.6699981689453,212.4600067138672,265.70001220703125,684.5,79.33000183105469,513.5,86.06999969482422,474.8500061035156,2657.5,59200.0
2025-06-11,198.77999877929688,214.10000610351562,263.1499938964844,690.2000122070312,78.7300033569336,518.0,85.16000366210938,470.6000061035156,2656.0,59900.0
2025-06-12,199.1999969482422,215.42999267578125,261.1499938964844,676.5999755859375,81.05000305175781,510.0,85.44000244140625,468.8500061035156,2616.5,59500.0
2025-06-13,196.4499969482422,211.10000610351562,254.75,664.5999755859375,79.83000183105469,510.0,84.25,461.3999938964844,2555.0,58300.0
2025-06-16,198.4199981689453,215.67999267578125,257.45001220703125,670.0999755859375,77.0199966430664,509.5,83.05000305175781,467.3500061035156,2554.5,57200.0
2025-06-17,195.63999938964844,213.89999389648438,256.04998779296875,666.0,74.33999633789062,513.5,82.77999877929688,460.70001220703125,2538.0,58100.0
2025-06-18,196.5800018310547,213.5,252.9499969482422,665.0,74.01000213623047,508.0,83.2699966430664,464.04998779296875,2569.0,59800.0
2025-06-20,201.0,209.50999450683594,251.14999389648438,650.4000244140625,73.7699966430664,505.5,81.54000091552734,449.95001220703125,2502.5,59500.0
2025-06-23,201.5,210.32000732421875,249.9499969482422,668.7000122070312,69.72000122070312,504.0,81.44000244140625,449.79998779296875,2493.5,58000.0
2025-06-24,200.3000030517578,220.08999633789062,254.9499969482422,691.4000244140625,70.7300033569336,509.5,81.9800033569336,453.54998779296875,2490.0,60500.0
2025-06-25,201.55999755859375,222.74000549316406,252.5,694.5,67.3499984741211,512.5,79.7300033569336,444.79998779296875,2460.5,61300.0
2025-06-26,201.1999969482422,223.99989318847656,251.64999389648438,677.4000244140625,67.55000305175781,513.0,78.98999786376953,437.54998779296875,2456.5,60200.0
