date,Open,High,Low,Close,Volume
2025-03-20 15:59:00-04:00,213.84,213.86,213.7,213.75,964.0
2025-03-20 15:58:00-04:00,213.81,213.86,213.75,213.84,656.0
2025-03-20 15:57:00-04:00,213.85,213.88,213.77,213.88,142.0
2025-03-20 15:56:00-04:00,213.86,213.88,213.75,213.88,40.0
2025-03-20 15:55:00-04:00,213.86,213.88,213.75,213.86,313.0
2025-03-20 15:54:00-04:00,213.88,213.88,213.8,213.8,207.0
2025-03-20 15:53:00-04:00,213.8799,213.8799,213.8,213.86,135.0
2025-03-20 15:52:00-04:00,213.802,213.8789,213.802,213.85,96.0
2025-03-20 15:51:00-04:00,213.75,213.862,213.75,213.85,87.0
2025-03-20 15:50:00-04:00,213.6947,213.8753,213.69,213.85,74.0
2025-03-20 15:49:00-04:00,213.75,213.75,213.75,213.75,20.0
2025-03-20 15:48:00-04:00,213.85,213.88,213.75,213.75,3462.0
2025-03-20 15:47:00-04:00,213.85,213.85,213.75,213.75,34.0
2025-03-20 15:46:00-04:00,213.85,213.85,213.694,213.846,35.0
2025-03-20 15:45:00-04:00,213.82,213.85,213.694,213.84,121.0
2025-03-20 15:44:00-04:00,213.82,213.82,213.694,213.694,30.0
2025-03-20 15:43:00-04:00,213.85,213.85,213.82,213.82,129.0
2025-03-20 15:42:00-04:00,213.84,213.84,213.81,213.81,45.0
2025-03-20 15:41:00-04:00,213.85,213.85,213.69,213.85,193.0
2025-03-20 15:40:00-04:00,213.8,213.85,213.75,213.846,968.0
2025-03-20 15:39:00-04:00,213.82,213.82,213.8,213.8,3.0
2025-03-20 15:38:00-04:00,213.71,213.75,213.7,213.75,89.0
2025-03-20 15:37:00-04:00,213.8386,213.8386,213.8386,213.8386,500.0
2025-03-20 15:36:00-04:00,213.8,213.8,213.64,213.75,63.0
2025-03-20 15:35:00-04:00,213.8,213.8,213.64,213.64,17.0
2025-03-20 15:34:00-04:00,213.8,213.8,213.75,213.8,57.0
