date,ticker,yield
2015-01-02,AAA,2.46
2015-01-05,AAA,2.41
2015-01-06,AAA,2.35
2015-01-07,AAA,2.34
2015-01-08,AAA,2.38
2015-01-09,AAA,2.34
2015-01-12,AAA,2.29
2015-01-13,AAA,2.27
2015-01-14,AAA,2.23
2015-01-15,AAA,2.19
2015-01-19,AAA,2.23
2015-01-20,AAA,2.22
2015-01-21,AAA,2.25
2015-01-22,AAA,2.27
2015-01-23,AAA,2.22
2015-01-26,AAA,2.23
2015-01-27,AAA,2.22
2015-01-28,AAA,2.15
2015-01-29,AAA,2.17
2015-01-30,AAA,2.1
2015-01-31,AAA,2.11
2015-02-02,AAA,2.11
2015-02-03,AAA,2.2
2015-02-04,AAA,2.21
2015-02-05,AAA,2.21
2015-02-06,AAA,2.32
2015-02-09,AAA,2.32
2015-02-10,AAA,2.36
2015-02-11,AAA,2.36
2015-02-12,AAA,2.34
2015-02-13,AAA,2.38
2015-02-16,AAA,2.37
2015-02-17,AAA,2.46
2015-02-18,AAA,2.38
2015-02-19,AAA,2.41
2015-02-20,AAA,2.43
2015-02-23,AAA,2.36
2015-02-24,AAA,2.3
2015-02-25,AAA,2.3
2015-02-26,AAA,2.34
2015-02-27,AAA,2.32
2015-02-28,AAA,2.49
2015-03-02,AAA,2.56
2015-03-03,AAA,2.59
2015-03-04,AAA,2.58
2015-03-05,AAA,2.56
2015-03-06,AAA,2.66
2015-03-09,AAA,2.62
2015-03-10,AAA,2.57
2015-03-11,AAA,2.57
2015-03-12,AAA,2.56
2015-03-13,AAA,2.58
2015-03-16,AAA,2.57
2015-03-17,AAA,2.56
2015-03-18,AAA,2.46
2015-03-19,AAA,2.49
2015-03-20,AAA,2.45
2015-03-23,AAA,2.44
2015-03-24,AAA,2.41
2015-03-25,AAA,2.44
2015-03-26,AAA,2.51
2015-03-27,AAA,2.45
2015-03-30,AAA,2.47
2015-03-31,AAA,2.41
2015-04-01,AAA,2.37
2015-04-02,AAA,2.39
2015-04-06,AAA,2.37
2015-04-07,AAA,2.37
2015-04-08,AAA,2.37
2015-04-09,AAA,2.43
2015-04-10,AAA,2.42
2015-04-13,AAA,2.4
2015-04-14,AAA,2.37
2015-04-15,AAA,2.37
2015-04-16,AAA,2.35
2015-04-17,AAA,2.33
2015-04-20,AAA,2.38
2015-04-21,AAA,2.39
2015-04-22,AAA,2.43
2015-04-23,AAA,2.4
2015-04-24,AAA,2.38
2015-04-27,AAA,2.38
2015-04-28,AAA,2.43
2015-04-29,AAA,2.48
2015-04-30,AAA,2.51
2015-05-01,AAA,2.57
2015-05-04,AAA,2.57
2015-05-05,AAA,2.6
2015-05-06,AAA,2.66
2015-05-07,AAA,2.63
