Date,Adj Close,Close,High,Low,Open,Volume
,AKER.OL,AKER.OL,AKER.OL,AKER.OL,AKER.OL,AKER.OL
2010-01-04,75.57486724853516,167.5,167.5,160.5,161.5,171554
2010-01-05,75.34925842285156,167.0,168.5,166.0,168.0,127864
2010-01-06,76.92845153808594,170.5,170.5,167.0,167.0,162400
2010-01-07,76.02605438232422,168.5,174.5,168.5,170.0,106096
2010-01-08,76.25165557861328,169.0,171.0,167.5,169.5,70301
2010-01-11,74.67247009277344,165.5,171.0,165.0,169.5,117499
2010-01-12,74.67247009277344,165.5,167.0,162.5,165.0,138181
2010-01-13,74.4468765258789,165.0,167.0,163.5,163.5,50094
2010-01-14,75.57486724853516,167.5,168.0,166.0,166.0,51445
2010-01-15,75.1236572265625,166.5,169.5,165.5,168.0,103250
2010-01-18,74.4468765258789,165.0,167.5,164.5,167.5,101175
2010-01-19,73.99567413330078,164.0,165.0,162.5,165.0,62021
2010-01-20,72.41649627685547,160.5,164.0,159.0,164.0,128884
2010-01-21,71.06292724609375,157.5,163.0,157.5,162.0,167360
2010-01-22,70.83733367919922,157.0,162.0,156.5,158.0,139742
2010-01-25,69.9349365234375,155.0,159.0,155.0,156.0,134583
2010-01-26,70.16055297851562,155.5,157.0,151.5,153.0,117427
2010-01-27,69.7093505859375,154.5,156.5,153.5,156.0,147560
2010-01-28,69.9349365234375,155.0,158.5,154.5,155.5,175268
2010-01-29,71.5141372680664,158.5,161.0,155.5,156.0,126583
2010-02-01,71.28852844238281,158.0,159.0,157.0,159.0,52032
2010-02-02,73.09329223632812,162.0,162.5,158.5,159.0,66760
2010-02-03,73.54448699951172,163.0,164.5,161.5,162.0,108733
2010-02-04,70.83733367919922,157.0,163.5,157.0,163.5,59158
2010-02-05,70.38614654541016,156.0,157.5,152.5,157.0,155356
2010-02-08,68.13017272949219,151.0,156.0,146.5,155.5,135852
2010-02-09,68.58136749267578,152.0,152.5,147.5,152.0,174917
2010-02-10,67.22777557373047,149.0,154.5,149.0,154.0,133635
2010-02-11,67.67896270751953,150.0,152.0,149.0,150.0,94950
2010-02-12,66.77658081054688,148.0,152.0,147.5,152.0,81033
2010-02-15,66.09980773925781,146.5,149.5,142.0,148.0,125190
2010-02-16,67.22777557373047,149.0,149.0,146.5,147.5,100832
2010-02-17,68.80696868896484,152.5,153.0,150.0,150.0,108266
2010-02-18,70.61172485351562,156.5,156.5,152.0,152.5,85223
2010-02-19,70.61172485351562,156.5,156.5,152.5,155.0,52746
2010-02-22,71.06292724609375,157.5,159.5,155.5,155.5,28306
2010-02-23,69.9349365234375,155.0,158.0,154.0,158.0,114874
2010-02-24,69.7093505859375,154.5,156.0,153.0,156.0,60089
2010-02-25,69.48375701904297,154.0,158.0,152.0,158.0,75444
2010-02-26,69.03253936767578,153.0,154.0,151.0,154.0,87482
2010-03-01,70.83733367919922,157.0,158.0,151.0,154.0,72840
2010-03-02,70.83733367919922,157.0,158.0,154.5,158.0,52183
2010-03-03,70.83733367919922,157.0,157.5,156.0,157.5,51763
2010-03-04,70.16055297851562,155.5,157.0,155.5,157.0,77721
2010-03-05,71.28852844238281,158.0,161.0,155.5,156.0,94075
2010-03-08,71.5141372680664,158.5,160.0,157.0,158.5,44551
2010-03-09,71.5141372680664,158.5,160.0,157.0,158.0,24330
2010-03-10,71.06292724609375,157.5,159.5,156.5,158.0,109304
2010-03-11,71.28852844238281,158.0,159.0,156.0,158.0,67484
2010-03-12,70.61172485351562,156.5,158.5,156.0,158.5,81490
2010-03-15,69.48375701904297,154.0,157.0,153.5,157.0,51627
2010-03-16,69.9349365234375,155.0,156.0,154.0,154.0,40549
2010-03-17,71.5141372680664,158.5,158.5,155.5,156.5,51825
2010-03-18,71.5141372680664,158.5,160.0,157.0,158.0,86936
