Pair,date,type,z_score,amount_spent,amount_received,profit
GOOG_GOOGL,2024-04-03,Long GOOGL,1.4,10683193.51,10683193.51,0
GOOG_GOOGL,2024-05-15,Long GOOG,-2.07,11896187.66,11896187.66,0
GOOG_GOOGL,2024-07-19,Long GOOGL,1.22,12287125.43,12287125.43,0
GOOG_GOOGL,2024-09-03,Long GOOG,-2.33,10883177.38,10883177.38,0
GOOG_GOOGL,2024-10-16,Long GOOGL,1.61,11456081.36,11456081.36,0
GOOG_GOOGL,2024-11-20,Long GOOG,-1.44,12206593.68,12206593.68,0
GOOG_GOOGL,2024-11-22,Long GOOGL,1.75,11465926.62,11465926.62,0
GOOG_GOOGL,2024-12-10,Long GOOG,-2.07,12901047.91,12901047.91,0
GOOG_GOOGL,2025-01-24,Long GOOGL,1.14,13964086.31,13964086.31,0
SCHA.OL_SCHB.OL,2024-02-20,Long SCHA.OL,-1.27,10258273.28,10258273.28,0
SCHA.OL_SCHB.OL,2024-02-27,Long SCHB.OL,2.52,9949779.08,9949779.08,0
SCHA.OL_SCHB.OL,2024-03-12,Long SCHA.OL,-1.93,10345615.2,10345615.2,0
SCHA.OL_SCHB.OL,2024-03-15,Long SCHB.OL,2.32,10595554.04,10595554.04,0
SCHA.OL_SCHB.OL,2024-03-22,Long SCHA.OL,-1.59,10848152.88,10848152.88,0
SCHA.OL_SCHB.OL,2024-05-30,Long SCHB.OL,2.29,13483163.84,13483163.84,0
SCHA.OL_SCHB.OL,2024-06-25,Long SCHA.OL,-1.08,13859000.36,13859000.36,0
SCHA.OL_SCHB.OL,2024-07-29,Long SCHB.OL,1.22,13903851.29,13903851.29,0
SCHA.OL_SCHB.OL,2024-09-16,Long SCHA.OL,-1.05,14712681.75,14712681.75,0
SCHA.OL_SCHB.OL,2024-09-20,Long SCHB.OL,2.86,15664566.83,15664566.83,0
SCHA.OL_SCHB.OL,2024-11-27,Long SCHA.OL,-1.09,17168284.32,17168284.32,0
SCHA.OL_SCHB.OL,2025-03-10,Long SCHB.OL,1.17,13420303.44,13420303.44,0
BRK-A_BRK-B,2024-03-08,Long BRK-B,2.15,10254368,10254368,0
BRK-A_BRK-B,2024-03-11,Long BRK-A,-1.72,10295318.75,10295318.75,0
BRK-A_BRK-B,2024-03-15,Long BRK-B,2.8,10461366.75,10461366.75,0
BRK-A_BRK-B,2024-04-02,Long BRK-A,-1.11,10737936.25,10737936.25,0
BRK-A_BRK-B,2024-04-04,Long BRK-B,1.35,10706163.25,10706163.25,0
BRK-A_BRK-B,2024-04-23,Long BRK-A,-1.66,10536543.57,10536543.57,0
BRK-A_BRK-B,2024-05-02,Long BRK-B,1.6,10387589.57,10387589.57,0
BRK-A_BRK-B,2024-05-03,Long BRK-A,-2.28,10394590.39,10394590.39,0
BRK-A_BRK-B,2024-05-16,Long BRK-B,1.43,10770290.39,10770290.39,0
BRK-A_BRK-B,2024-06-07,Long BRK-A,-1.46,10785932.55,10785932.55,0
BRK-A_BRK-B,2024-08-30,Long BRK-B,1.57,12367085.55,12367085.55,0
BRK-A_BRK-B,2024-09-04,Long BRK-A,-2.76,12435945.64,12435945.64,0
BRK-A_BRK-B,2024-09-18,Long BRK-B,2.31,11944322.64,11944322.64,0
BRK-A_BRK-B,2024-09-19,Long BRK-A,-2.08,12025676.74,12025676.74,0
BRK-A_BRK-B,2024-09-20,Long BRK-B,2.65,11985726.74,11985726.74,0
BRK-A_BRK-B,2024-10-01,Long BRK-A,-1.22,12041007.31,12041007.31,0
BRK-A_BRK-B,2024-12-10,Long BRK-B,1.17,12204547.31,12204547.31,0
BRK-A_BRK-B,2024-12-11,Long BRK-A,-1.53,12175521.15,12175521.15,0
BRK-A_BRK-B,2024-12-16,Long BRK-B,1.39,12058595.15,12058595.15,0
BRK-A_BRK-B,2024-12-26,Long BRK-A,-1.01,12161375.67,12161375.67,0
BRK-A_BRK-B,2024-12-31,Long BRK-B,1.18,12047815.67,12047815.67,0
BRK-A_BRK-B,2025-01-02,Long BRK-A,-1.16,11989873.65,11989873.65,0
BRK-A_BRK-B,2025-01-03,Long BRK-B,1.27,12091193.65,12091193.65,0
BRK-A_BRK-B,2025-01-16,Long BRK-A,-1.25,12337780.15,12337780.15,0
BRK-A_BRK-B,2025-02-28,Long BRK-B,4.1,13733412.15,13733412.15,0
BRK-A_BRK-B,2025-03-04,Long BRK-A,-1.3,13253127.11,13253127.11,0
BRK-A_BRK-B,2025-03-12,Long BRK-B,1.57,13302121.11,13302121.11,0
BRK-A_BRK-B,2025-03-18,Long BRK-A,-1.15,14031679.83,14031679.83,0
BRK-A_BRK-B,2025-03-19,Long BRK-B,1.59,14137011.83,14137011.83,0
BRK-A_BRK-B,2025-03-21,Long BRK-A,-1.31,14046582.91,14046582.91,0
NOVO-B.CO_NVO,2024-03-06,Long NOVO-B.CO,-1.21,10396695.7,10396695.7,0
NOVO-B.CO_NVO,2024-03-20,Long NVO,1.25,11047014.06,11047014.06,0
NOVO-B.CO_NVO,2024-05-06,Long NOVO-B.CO,-1.57,10634227.1,10634227.1,0
NOVO-B.CO_NVO,2024-06-17,Long NVO,1.39,12246657.22,12246657.22,0
NOVO-B.CO_NVO,2024-07-17,Long NOVO-B.CO,-1.62,11814792.94,11814792.94,0
NOVO-B.CO_NVO,2024-09-17,Long NVO,1.21,11659089.35,11659089.35,0
NOVO-B.CO_NVO,2024-09-19,Long NOVO-B.CO,-1.14,11913468.67,11913468.67,0
NOVO-B.CO_NVO,2024-10-01,Long NVO,1.1,10587168.67,10587168.67,0
NOVO-B.CO_NVO,2024-12-20,Long NOVO-B.CO,-2.03,7625709.33,7625709.33,0
NOVO-B.CO_NVO,2024-12-27,Long NVO,2.07,8230100.89,8230100.89,0
NOVO-B.CO_NVO,2025-01-21,Long NOVO-B.CO,-1.04,7632885.2,7632885.2,0
NOVO-B.CO_NVO,2025-02-10,Long NVO,1.22,8189076.65,8189076.65,0
NOVO-B.CO_NVO,2025-02-18,Long NOVO-B.CO,-1.12,8034879.53,8034879.53,0
NESN.SW_NSRGY,2024-05-16,Long NESN.SW,-1.16,9962384.97,9962384.97,0
NESN.SW_NSRGY,2024-05-22,Long NSRGY,1.01,9924799.1,9924799.1,0
NESN.SW_NSRGY,2024-05-30,Long NESN.SW,-1.17,9915250.02,9915250.02,0
NESN.SW_NSRGY,2024-08-22,Long NSRGY,1.33,9420227.54,9420227.54,0
NESN.SW_NSRGY,2024-08-23,Long NESN.SW,-1.58,9954036.56,9954036.56,0
NESN.SW_NSRGY,2024-10-04,Long NSRGY,1.66,9307038.84,9307038.84,0
NESN.SW_NSRGY,2025-02-14,Long NESN.SW,-2.11,8711242.79,8711242.79,0
TM_7203.T,2024-03-12,Long 7203.T,1.26,10493004.14,10493004.14,0
TM_7203.T,2024-03-21,Long TM,-1.19,11471176.13,11471176.13,0
TM_7203.T,2024-07-22,Long 7203.T,2.15,9129353.54,9129353.54,0
TM_7203.T,2024-09-27,Long TM,-2.48,8250424.48,8250424.48,0
TM_7203.T,2024-11-29,Long 7203.T,1.63,7700314.05,7700314.05,0
TM_7203.T,2024-12-18,Long TM,-1.72,8228410.8,8228410.8,0
TM_7203.T,2025-02-03,Long 7203.T,1.33,8703762.53,8703762.53,0
AZN.L_AZN,2024-02-21,Long AZN.L,-1.79,10665245.36,10665245.36,0
AZN.L_AZN,2024-04-02,Long AZN,1.37,11196897.01,11196897.01,0
AZN.L_AZN,2024-05-17,Long AZN.L,-1.29,12851356.64,12851356.64,0
AZN.L_AZN,2024-06-26,Long AZN,1.77,13324466.28,13324466.28,0
AZN.L_AZN,2024-07-05,Long AZN.L,-1.1,13031288.59,13031288.59,0
AZN.L_AZN,2024-07-29,Long AZN,1.01,13364169.03,13364169.03,0
AZN.L_AZN,2024-08-01,Long AZN.L,-1.12,13848524.07,13848524.07,0
AZN.L_AZN,2024-08-07,Long AZN,1.05,14045530.07,14045530.07,0
AZN.L_AZN,2024-08-12,Long AZN.L,-1.07,14464905.98,14464905.98,0
AZN.L_AZN,2024-09-09,Long AZN,1.08,14387941.03,14387941.03,0
